INFO 2026-06-01 00:34:47,208 autoreload 25556 24892 Watching for file changes with StatReloader
INFO 2026-06-06 00:39:48,595 log 1424 39448 "GET /media/profiles/14/SALEEM_PROFILE_PIC_.jpg HTTP/1.1" 304 0
INFO 2026-06-06 00:39:48,596 log 1424 21352 "GET /media/profiles/13/Screenshot_2024-11-11_145803.png HTTP/1.1" 304 0
INFO 2026-06-06 00:39:48,608 log 1424 39448 "GET /media/profiles/12/Screenshot_2024-10-28_222428.png HTTP/1.1" 304 0
INFO 2026-06-06 00:39:48,611 log 1424 21352 "GET /media/profiles/11/Screenshot_2024-09-23_155059.png HTTP/1.1" 304 0
INFO 2026-06-06 00:39:48,623 log 1424 39448 "GET /media/profiles/10/Screenshot_2024-09-23_154831.png HTTP/1.1" 304 0
INFO 2026-06-06 00:39:48,628 log 1424 21352 "GET /media/profiles/9/Screenshot_2024-11-17_044213.png HTTP/1.1" 304 0
INFO 2026-06-06 00:39:48,639 log 1424 39448 "GET /media/profiles/7/Screenshot_2023-06-05_183010.png HTTP/1.1" 304 0
INFO 2026-06-06 00:39:48,642 log 1424 21352 "GET /media/profiles/8/Screenshot_2024-10-28_222428.png HTTP/1.1" 304 0
INFO 2026-06-06 00:39:48,654 log 1424 39448 "GET /media/profiles/6/Screenshot_2024-09-23_155059.png HTTP/1.1" 304 0
INFO 2026-06-06 00:39:48,655 log 1424 21352 "GET /media/profiles/5/spider-man-logo-red-background-5k-8k-7680x4320-7214.png HTTP/1.1" 304 0
INFO 2026-06-06 00:39:48,671 log 1424 39448 "GET /media/profiles/4/spider-man-across-7680x4320-11476.png HTTP/1.1" 304 0
INFO 2026-06-06 00:39:48,674 log 1424 21352 "GET /media/profiles/3/spider-man-far-from-home-5k-5100x6691-947.jpg HTTP/1.1" 304 0
INFO 2026-06-06 00:39:48,688 log 1424 39448 "GET /media/profiles/2/SALEEM_PROFILE_PIC_.jpg HTTP/1.1" 304 0
INFO 2026-06-06 00:39:49,063 log 1424 38284 "GET /api/audit-logs/ HTTP/1.1" 200 122991
INFO 2026-06-06 00:39:49,925 log 1424 38284 "GET /api/dashboard/ HTTP/1.1" 200 3989
INFO 2026-06-06 00:39:49,932 log 1424 30344 "GET /api/departments/?page_size=1000 HTTP/1.1" 200 5038
INFO 2026-06-06 00:39:49,976 log 1424 10092 "GET /api/recruitment/interview-rounds/?page_size=1000 HTTP/1.1" 200 4633
INFO 2026-06-06 00:39:50,087 log 1424 11780 "GET /api/dashboard/ HTTP/1.1" 200 3989
INFO 2026-06-06 00:39:50,094 log 1424 35216 "GET /api/departments/?page_size=1000 HTTP/1.1" 200 5038
INFO 2026-06-06 00:39:50,154 log 1424 30344 "GET /api/recruitment/interview-rounds/?page_size=1000 HTTP/1.1" 200 4633
INFO 2026-06-06 00:39:50,255 log 1424 24476 "GET /api/users/?page_size=1000 HTTP/1.1" 200 14794
INFO 2026-06-06 00:39:50,525 log 1424 30344 "GET /api/users/?page_size=1000 HTTP/1.1" 200 14794
INFO 2026-06-06 00:39:51,023 log 1424 30344 "GET /api/notifications/unread_count/ HTTP/1.1" 200 18
INFO 2026-06-06 00:39:51,396 log 1424 30344 "OPTIONS /api/accounts/users/logout/ HTTP/1.1" 200 0
INFO 2026-06-06 00:39:51,417 log 1424 30344 "POST /api/accounts/users/logout/ HTTP/1.1" 200 31
INFO 2026-06-06 00:40:34,058 autoreload 1424 33732 C:\Users\ssale\.gemini\antigravity\scratch\Talentpulse\talentpulse-backend\config\settings.py changed, reloading.
INFO 2026-06-06 00:40:37,142 autoreload 33472 37944 Watching for file changes with StatReloader
